title,authors,publication_date,abstract,url,id
"The policy response to the crisis in Korea and other emerging market economies: a speech at the Bank of Korea's International Conference, Seoul, Korea (via video recording), May 30, 2010","Bernanke, Ben S.",N/A,N/A,http://www.federalreserve.gov/newsevents/speech/bernanke20100530a.htm,fedgsq:22557
"Commencement address: at the 2009 Commencement of the Boston College School of Law, Newton, Massachusetts, May 22, 2009","Bernanke, Ben S.",N/A,N/A,http://www.federalreserve.gov/newsevents/speech/bernanke20090522a.htm,fedgsq:22771
"The Roles of Consumer Protection and Small Business Access to Credit in Financial Inclusion : a speech at the HOPE Global Forums Annual Meeting, Atlanta, Georgia, March 26, 2018.","Quarles, Randal K.",N/A,N/A,https://www.federalreserve.gov/newsevents/speech/files/quarles20180326a.pdf,fedgsq:23077
The new dollar indexes are no different from the old ones,"Strauss, William A., Hervey, Jack L.",N/A,N/A,http://www.chicagofed.org/digital_assets/publications/economic_perspectives/1987/ep_jul_aug1987_part1_hervey.pdf,fedhep:6100
"Board structure, banking firm performance and the bank holding company organizational form","Mehran, Hamid, Adams, Renee B.",N/A,N/A,,fedhpr:38060
U.S. Economic Outlook,"Moskow, Michael H.",N/A,"Remarks by Michael H. Moskow President and Chief Executive Officer Federal Reserve Bank of Chicago. University Club of Chicago - Learn at Lunch Lecture - 76 E. Monroe St., Chicago, IL. A speech delivered on February 16, 2007 in Chicago, Illinois.",http://www.chicagofed.org/webpages/publications/speeches/2007/02.16_university_club_of_chicago.cfm,fedhsp:12000
Implications of structural changes in the U.S. economy for pricing behavior and inflation dynamics,"Willis, Jonathan L.",N/A,"Some key features of the behavior of inflation in the United States appear to have changed in the past 20 years, with potentially important implications for forecasters and policymakers. Recent studies have provided evidence of a decline in both the variability and persistence of inflation. ; Such shifts in the behavior or dynamics of inflation would necessitate changes in the economic relationships used by policymakers and economists to assess current conditions, forecast key economic indicators, and determine the implications of policy changes for future economic activity. ; Willis examines how structural changes in the economy over the past two decades may have affected the price-setting behavior of firms and, in turn, the behavior of aggregate inflation. He concludes that structural changes in the economy over the past 20 years have likely contributed to a decrease in the persistence and volatility of inflation.",https://www.kansascityfed.org/documents/1659/Implications_of_Structural_Changes_in_the_U.S._Economy_for_Pricing_Behavior_and_Inflat.pdf,fedker:31251
Bank profitability and bank size,"Gallick, Edward C.",N/A,N/A,https://www.kansascityfed.org/documents/1597/1976-Bank%20Profitability%20and%20Bank%20Size.pdf,fedker:31670
The wage cycle and shadow labor supply,"Davig, Troy, Mustre-del-Rio, Jose",N/A,N/A,http://www.kansascityfed.org/publicat/research/macrobulletins/mb14Davig-Mustre0811.pdf,fedkmb:26636
General discussion : policies to stabilize financial markets,"Draghi, Mario",N/A,N/A,https://www.kansascityfed.org/Jackson%20Hole/documents/3141/papers-general-discussion3.pdf,fedkpr:21756
Domestic open market operations during 2004,anonymous,N/A,N/A,https://www.newyorkfed.org/medialibrary/media/markets/omo/omo2004.pdf,fednao:18200
Systemic risk and deposit insurance premiums,"Yorulmazer, Tanju, Santos, João A. C., Acharya, Viral V.",N/A,"Professor Viral Acharya of the London Business School and New York University collaborates with New York Fed economists Joo Santos and Tanju Yorulmazer to analyze various ways to incorporate systemic risk into deposit insurance premiums. Presented at \\""Central Bank Liquidity Tools and Perspectives on Regulatory Reform\\"" a conference sponsored by the Federal Reserve Bank of New York, February 19-20, 2009.",https://www.newyorkfed.org/medialibrary/media/research/epr/10v16n1/1008yoru.pdf,fednep:20007
Peas in a pod? Comparing the U.S. and Danish mortgage finance systems,"Vickery, James, Berg, Jesper, Nielsen, Morten Bækmand",N/A,"Like the United States, Denmark relies heavily on capital markets for funding residential mortgages, and its covered bond market bears a number of similarities to U.S. agency securitization. This article describes the key features of the Danish mortgage finance system and compares and contrasts them with those of the U.S. system. In addition, it highlights characteristics of the Danish model that may be of interest as the United States considers further mortgage finance reform. In particular, the Danish system includes features that mitigate refinancing frictions during periods of falling home prices, and it offers borrowers the option to repurchase their mortgage at the market price, mitigating ?lock-in? effects. Danish mortgage intermediaries also have high capital ratios relative to their risk exposures, a characteristic that contributes to the stability of the Danish market.",https://www.newyorkfed.org/medialibrary/media/research/epr/2018/epr_2018_us-danish-mortgage-finance_berg.pdf,fednep:20044
Banking and securities and insurance: economists' views of the synergies - summary of presentations,"Lown, Cara S.",N/A,N/A,https://www.newyorkfed.org/medialibrary/media/research/epr/00v06n4/0010sum1.pdf,fednep:20135
Medicare and Financial Health across the United States,"Goldsmith-Pinkham, Paul, Pinkovskiy, Maxim L., Wallace, Jacob",N/A,"Consumer financial strain varies enormously across the United States. One pernicious source of financial strain is debt in collections—debt that is more than 120 days past due and that has been sold to a collections agency. In Massachusetts, the average person has less than $100 in collections debt, while in Texas, the average person has more than $300. In this post, we discuss our recent staff report that exploits the fact that virtually all Americans are universally covered by Medicare at 65 to show that health insurance not only improves financial health on average, but also is a major explanation for the heterogeneity in financial strain across the country. We find that Medicare affects different parts of the United States differently and plays a particularly important role in improving financial health in the least advantaged areas.",https://libertystreeteconomics.newyorkfed.org/2020/07/medicare-and-financial-health-across-the-united-states.html,fednls:88331
Flood Risk and Firm Location Decisions in the Fed’s Second District,"Hannaoui, Oliver Zain, Santos, João A. C., Jung, Hyeyoon, Seltzer, Lee",N/A,"The intensity, duration, and frequency of flooding have increased over the past few decades. According to the Federal Emergency Management Agency (FEMA), 99 percent of U.S. counties have been impacted by a flooding event since 1999. As the frequency of flood events continues to increase, the number of people, buildings, and agriculture exposed to flood risk is only likely to grow. As a previous post points out, measuring the geographical accuracy of such risk is important and may impact bank lending. In this post, we focus on the distribution of flood risk within the Federal Reserve’s Second District and examine its effect on establishment location decisions over the last two decades.",https://libertystreeteconomics.newyorkfed.org/2023/11/flood-risk-and-firm-location-decisions-in-the-feds-second-district/,fednls:97304
Monetary Policy Implementation: Adapting to a New Environment,"Logan, Lorie",N/A,Remarks before the Money Marketeers of New York University (delivered via videoconference).,https://www.newyorkfed.org/newsevents/speeches/2021/log211014,fednsp:93167
The impact of housing markets on consumer debt: credit report evidence from 1999 to 2012,"Zafar, Basit, Stein, Sarah, Brown, Meta",N/A,"We investigate the impact of large swings in the housing market on nonmortgage borrowing, including student, credit card, auto, and home equity debts. For this purpose, we use CoreLogic geographic house price variation, matched with rich data on consumer liabilities from the Equifax-sourced FRBNY Consumer Credit Panel. The length and timing of our panel allow us to study the consumer debt portfolio response to house price changes during a boom-and-bust cycle of historic magnitude as well as during more ordinary times. In first-differenced instrumental variables estimation, we find that during 1999-2001, homeowners substituted out of nonhousing (largely credit card) debt and into home equity-based debt at a nearly dollar-for-dollar rate in response to house price increases. During the housing boom of 2002-06, however, homeowners abandoned the practice of substituting into less costly debt as equity grew, and instead increased obligations across the board. From 2007-12, sample homeowners experienced a 23 percent average house price decline, and withdrew from home equity debt without adding to non-housing debt. We observe substantial heterogeneity in this pattern: Substitution in both 1999-2001 and 2007-12 ranges from 50 cents to more than dollar-for-dollar for older and prime borrowers, while the decidedly nonprime borrow more modestly, show less evidence of substitution, and shed large amounts of all types of debt from 2007-12. Finally, difference-in-differences and FD-IV estimates are consistent with both 1) a 2012 relative debt overhang of at least $1,800 on average, despite little remaining home equity advantage, for homeowners who experienced a more pronounced boom-and-bust cycle and 2) little substitution out of home equity debt into student loans in response to recent house price declines.",https://www.newyorkfed.org/medialibrary/media/research/staff_reports/sr617.html,fednsr:12824
From centralization to deconcentration: economic activity spreads out,"Carlino, Gerald A.",N/A,N/A,https://www.philadelphiafed.org/-/media/frbp/assets/economy/articles/business-review/1982/br82mjgc.pdf,fedpbr:31897
Resolving the puzzle of the underissuance of national bank notes,"Mason, Joseph R., Calomiris, Charles W.",N/A,"The puzzle of underissuance of national bank notes disappears when one disaggregates data, takes account of regulatory limits, and considers differences in opportunity costs. Banks with poor lending opportunities maximized their issuance. Other banks chose to limit issuance. Redemption costs do not explain cross-sectional variation in issuance, and the observed relationship between note issuance and excess reserves is inconsistent with the redemption risk hypothesis of underissuance. National banks did not enter primarily to issue national bank notes, and a ?pure arbitrage? strategy of chartering a national bank only to issue national bank notes would not have been profitable. Indeed, new entrants issued less while banks exiting were often maximum issuers. Economies of scope between note issuing and deposit banking included shared overhead costs and the ability to reduce costs of mandatory minimum reserve and capital requirements.",https://www.philadelphiafed.org/-/media/frbp/assets/working-papers/2005/wp05-19.pdf,fedpwp:4018:original
A Likelihood-Based Comparison of Macro Asset Pricing Models,"Wasyk, Rebecca, Winkler, Fabian, Chen, Andrew Y.",N/A,"We estimate asset pricing models with multiple risks: long-run growth, long-run volatility, habit, and a residual. The Bayesian estimation accounts for the entire likelihood of consumption, dividends, and the price-dividend ratio. We find that the residual represents at least 80% of the variance of the price-dividend ratio. Moreover, the residual tracks most recognizable features of stock market history such as the 1990's boom and bust. Long run risks and habit contribute primarily in crises. The dominance of the residual comes from the low correlation between asset prices and consumption growth moments. We discuss theories which are consistent with our results.",https://www.federalreserve.gov/econres/feds/files/2017024pap.pdf,fedgfe:34008:original
Dynamics of market concentration,"Liang, J. Nellie, Amel, Dean F.",N/A,N/A,,fedgfe:34309:original
Understanding Persistent Stagnation,"Singh, Sanjay R., Cuba-Borda, Pablo A.",N/A,"We theoretically explore long-run stagnation at the zero lower bound in a representative agent framework. We analytically compare expectations-driven stagnation to a secular stagnation episode and find contrasting policy implications for changes in government spending, supply shocks and neo-Fisherian policies. On the other hand, a minimum wage policy is expansionary and robust to the source of stagnation. Using Bayesian methods, we estimate a DSGE model that can accommodate two competing hypotheses of long-run stagnation in Japan. We document that equilibrium selection under indeterminacy matters in accounting for model fit.",https://www.federalreserve.gov/econres/ifdp/files/ifdp1243.pdf,fedgif:36410:original
Benefits and spillovers of greater competition in Europe: a macroeconomic assessment,"Bayoumi, Tamim, Pesenti, Paolo, Laxton, Douglas",N/A,"Using a general-equilibrium simulation model featuring nominal rigidities and monopolistic competition in product and labor markets, this paper estimates the macroeconomic benefits and international spillovers of an increase in competition. After calibrating the model to the euro area vs. the rest of the industrial world, the paper draws three conclusions. First, greater competition produces large effects on macroeconomic performance, as measured by standard indicators. In particular, we show that differences in competition can account for over half of the current gap in GDP per capita between the euro area and the US. Second, it may improve macroeconomic management by increasing the responsiveness of wages and prices to market conditions. Third, greater competition can generate positive spillovers to the rest of the world through its impact on the terms of trade.",http://www.federalreserve.gov/pubs/ifdp/2004/803/default.htm,fedgif:36560:original
Price determination in the multi-country model,"Howe, Howard",N/A,N/A,http://www.federalreserve.gov/pubs/ifdp/1976/98/ifdp98.pdf,fedgif:37116:original
Investor Sentiment and the (Discretionary) Accrual-return Relation,"Liu, Qi, Jiang, Jiajun, Sun, Bo",N/A,"Discretionary accruals are positively associated with stock returns at the aggregate level but negatively so in the cross section. Using Baker-Wurgler investor sentiment index, we find that a significant presence of sentiment-driven investors is important in accounting for both patterns. We document that the aggregate relation is only prominent during periods of high investor sentiment. Similarly, the cross-section relation is considerably stronger in high-sentiment periods in both economic magnitude and statistical significance. We then embed investor sentiment into a stylized model of earnings management, and illustrate that a positive (negative) relationship between stock returns and earnings management can endogenously emerge in the aggregate (cross section). Our analysis suggests that the (discretionary) accrual-return relation at both the aggregate and firm levels at least partially reflects mispricing that is related to market-wide investor sentiment.",https://www.federalreserve.gov/econres/ifdp/files/ifdp1300.pdf,fedgif:88770:original
Instalment credit expansion,anonymous,N/A,N/A,http://fraser.stlouisfed.org/publications/FRB/page/13831/2291/download/13831.pdf,fedgrb:14818
"Henry C. Wallich resigned as a member of the Board of Governors effective December 15, 1986",anonymous,N/A,N/A,,fedgrb:15537
"Fee schedules provided by Federal Reserve Banks, effective December 19, 1995",anonymous,N/A,N/A,,fedgrb:16408
The pattern of recovery,anonymous,N/A,N/A,http://fraser.stlouisfed.org/publications/FRB/page/14323/2356/download/14323.pdf,fedgrb:16652
A decade lost and found: Mexico and Chile in the 1980s,"Kehoe, Patrick J., Kehoe, Timothy J., Soto, Raimundo, Bergoeing, Raphael",N/A,"Chile and Mexico experienced severe economic crises in the early 1980s. This paper analyzes four possible explanations for why Chile recovered much faster than did Mexico. Comparing data from the two countries allows us to rule out a monetarist explanation, an explanation based on falls in real wages and real exchange rates, and a debt overhang explanation. Using growth accounting, a calibrated growth model, and economic theory, we conclude that the crucial difference between the two countries was the earlier policy reforms in Chile that generated faster productivity growth. The most crucial of these reforms were in banking and bankruptcy procedures.",https://www.minneapolisfed.org/research/sr/sr292.pdf,fedmsr:5143
The debasement puzzle: an essay on medieval monetary policy,"Velde, Francois R., Rolnick, Arthur J., Weber, Warren E.",N/A,"This paper establishes the stylized fact that medieval debasements were accompanied by unusually large minting volumes and revenues. This fact is a puzzle under the commonly held view that metallic coins are commodity money and exchange by weight. An existing explanation is that debased coins were used to reduce the real burden of nominally denominated debts. This explanation is logically flawed: nothing prevents agents from renegotiating contracts and avoid incurring minting costs. The paper also establishes other facts about monetary mutations, which altogether pose a challenge to monetary economics.",http://www.minneapolisfed.org/research/common/pub_detail.cfm?pb_autonum_id=594,fedmwp:42417:original
Deferred cash compensation: enhancing stability in the financial services industry,"Mehran, Hamid, Tracy, Joseph",N/A,"Employees in financial firms are compensated for creating value for the firm, but firms themselves also serve a public interest. This tension can lead to issues that could impose a significant risk to the firm and the public. The authors describe three channels through which deferred cash compensation can mitigate such risk: by promoting a conservative approach to risk, by inducing internal monitoring, and by creating a liquidity buffer. Ultimately, the net contribution of deferred cash pay to financial stability is the sum of the effects of the three channels. The authors argue that a deferred cash program can be designed to limit interference with labor mobility. Further, they underscore that such a scheme for banks is not punitive, particularly in a world of no bailouts. They offer a baseline conservative estimate for the size of the buffer for the largest U.S. banks. Finally, they discuss the potential effects of deferred cash pay on information production and sharing with regulators, and the intersection of deferred cash and enforcement.",https://www.newyorkfed.org/research/epr/2016/epr_2016_deferred-cash-comp_mehran,fednep:20101
Stress Test Success and Bank Opacity,"Morgan, Donald P.",N/A,"In contemplating the recent financial panic, it is easy to get lost in the weeds of repo markets and asset-backed securities and lose sight of the fact that, at the fundamental level, the panic was about inadequate information. Investors were uncertain about what particular assets were worth, and they were uncertain about which banks were exposed to those assets and to what degree. They were also uncertain about how the government would handle undercapitalized banks. It was against this background that the Treasury announced in February 2009 that the nineteen largest U.S. bank holding companies would be subject to an unprecedented stress test to determine if the banks had sufficient capital to survive and maintain lending in the event of a worse-than-expected recession. In this post, I discuss a recent New York Fed staff report that I wrote with Stavros Peristiani and Vanessa Savino that provides evidence that the stress test supplied new information to the market, and thus may have helped quell the panic.",https://libertystreeteconomics.newyorkfed.org/2011/05/stress-test-success-and-bank-opacity.html,fednls:86748
Discounting the Long-Run,"Diamond, Peter A., Yu, Rui, Crump, Richard K., Adrian, Tobias",N/A,"Expectations about the path of interest rates matter for many economic decisions. Three sources for obtaining information about such expectations are available. The first is extrapolation from historical data. The second consists of surveys of expectations. The third are expectations drawn from financial market prices, often referred to as market expectations. The last are usually considered to be model-based expectations, because, generally, a model is needed to reliably extract expectations from current prices. In this post, we explain the need for and usage of term structure models for extracting far in the future interest rate expectations from market rates, which can be used to discount the long run. We will illustrate our arguments by discussing the measurement of long-run discount rates for Social Security.",https://libertystreeteconomics.newyorkfed.org/2015/08/discounting-the-long-run.html,fednls:87059
Just Released: Hints of Increased Hardship in America’s Oil-Producing Counties,"Lee, Donghoon, Haughwout, Andrew F., Scally, Joelle, Van der Klaauw, Wilbert",N/A,"Today, the New York Fed released the Quarterly Report on Household Debt and Credit for the first quarter of 2016. Overall debt saw one of its larger increases since deleveraging ended, while delinquency rates for the United States continued to improve and remain at very low levels. Although the overall picture of Americans? liabilities has continued to improve since the financial crisis, we wondered what the variation looks like at local levels. One advantage of our Consumer Credit Panel (CCP), which is based on Equifax credit data, is that we can examine geographic variation in debt and delinquency rates. Here, we use the CCP to examine the borrowing and delinquency in oil-producing geographies in the United States, where the economic trends since the Great Recession have been very different from those in the rest of the country.",https://libertystreeteconomics.newyorkfed.org/2016/05/just-released-hints-of-increased-hardship-in-americas-oil-producing-counties.html,fednls:87131
Going with the Flow: Changes in Banks’ Business Model and Performance Implications,"Cetorelli, Nicola, Stern, Samuel, Jacobides, Michael G.",N/A,"Does the performance of banks improve or worsen when banks enter into new business activities? And does it matter which activities a bank expands into, or retreats from, and when that decision is made? These important questions have remained unaddressed due to a lack of data. In a recent publication, we used a unique data set detailing the organizational structure of the entire population of U.S. bank holding companies (BHCs). In this post, we draw on that research to show that while scope expansion on average hurts performance, entering into activities that are highly synergistic with core banking at a given point in time yields net performance benefits.",https://libertystreeteconomics.newyorkfed.org/2021/09/going-with-the-flow-changes-in-banks-business-model-and-performance-implications/,fednls:93026
A review of Federal Reserve policy targets and operating guides in recent decades,"Meulendyke, Ann-Marie",N/A,N/A,https://www.newyorkfed.org/medialibrary/media/research/quarterly_review/1988v13/v13n3article2.pdf,fednqr:28158
Corporate leverage and taxes in the U.S. economy,"Estrella, Arturo",N/A,N/A,,fednrp:8285
Price limits and volatility in soybean meal futures markets,"Cantor, Richard",N/A,N/A,,fednrp:8445
Hours Worked by Women Age 55 to 61 Confound Labor Market Analysis,"Gross, Andrew, Zarazaga, Carlos E.",N/A,The seemingly anomalous low LIUR of one particular demographic group poses a challenge for assessing the extent to which the U.S. economy is currently close to full employment.,https://www.dallasfed.org/research/economics/2019/1126,d00001:89303
Policy predictions if the model doesn’t fit,"Del Negro, Marco, Schorfheide, Frank",N/A,This paper uses a novel method for conducting policy analysis with potentially misspecified DSGE models (Del Negro and Schorfheide 2004) and applies it to a simple New Keynesian DSGE model. We illustrate the sensitivity of the results to assumptions on the policy invariance of model misspecifications.,https://www.frbatlanta.org/-/media/documents/research/publications/wp/2004/wp0438.pdf,fedawp:13683:original
Mapping New England: foreclosure prevention event,"Lee, Kai-yan",N/A,Two maps show where many of the holders of troubled mortgages who attended the first foreclosure prevention workshop of the Federal Reserve Bank of Boston came from.,http://www.bostonfed.org/commdev/c&b/2009/spring/Kai-yan_Lee_Mapping_New_England.pdf,fedbcb:18949
"Industrial employment shift and wage growth: Massachusetts and the U. S., 1969-87","Costrell, Robert M.",N/A,N/A,,fedbni:17826
A model of real estate auctions versus negotiated sales,"Mayer, Christopher J.",N/A,"Real estate auctions have grown substantially in recent years, emergingas an alternative sales method for many institutions interested in sellinglarge amounts of property quickly. This paper develops a framework for comparing auctions to the more traditional negotiated sales. The model showsthat auctions will sell property at a discount because a quick sale results in a poorer \""match\"" between house and buyer, on average, than could be obtained by waiting longer for a buyer. Furthermore, the model predicts that auction discounts should be larger in a down market with high vacancies, and in a smaller market with fewer buyers and sellers, when there is a larger difference between houses. Finally, the auction discount is smaller when property is more homogeneous, because the match between buyer and house matters less in the final price. Many of these results are verified empirically in other research.",http://www.bostonfed.org/economic/wp/wp1993/wp93_3.pdf,fedbwp:7418:original
Concentration and profitability in non-MSA banking markets,"Whalen, Gary",N/A,An examination of the relationship between bank profitability and concentration using recent data from a sample of institutions drawn from non-metropolitan statistical area counties in Ohio and Pennsylvania.,http://www.clevelandfed.org/research/review/1987/87-q1-whalen.pdf,fedcer:11067
"The U.S. Economy and Monetary Policy Remarks for the Panel Discussion, “The United States and the Global Economic Outlook” National Association for Business Economics/American Economic Association Meetings San Francisco, CA January 3, 2016","Mester, Loretta J.",N/A,I thank the National Association for Business Economics for organizing this session and giving me the opportunity to discuss the outlook for the U.S. economy and monetary policy. The views I?ll present today are my own and not necessarily those of the Federal Reserve System or my colleagues on the FOMC.,https://www.clevelandfed.org/collections/speeches/2016/sp-20160103-the-us-economy-and-monetary-policy,fedcsp:22053
Energy Bust Bad News for Job and Wage Growth,"Orrenius, Pia M.",N/A,Texas labor markets logged remarkable gains during the 2005?14 shale oil and gas boom but are beginning to buckle under an intensifying oil bust.,https://fraser.stlouisfed.org/title/475/item/596539?start_page=20,feddar:13216
Financial literacy: where does Texas rank?,"Cornwell, Camden, Murphy, Anthony",N/A,N/A,https://fraser.stlouisfed.org/title/6462/item/611647,feddfn:3543
Eleventh District small business financing guide,anonymous,N/A,N/A,https://fraser.stlouisfed.org/title/6466/item/611705/toc/632879,feddpe:38774
The effects of deficits on interest rates,"Webster, Charles E.",N/A,N/A,https://www.kansascityfed.org/documents/1289/1983-The%20Effects%20of%20Deficits%20Interest%20Rates.pdf,fedker:31686
Get by with a little help from my…other exports,"Li, Li, Contessi, Silvio",N/A,The European debt crisis could certainly affect the U.S. economy through other channels?but its direct impact on U.S. exports is likely to be small.>,http://research.stlouisfed.org/publications/es/12/ES_2012-05-09.pdf,fedles:20848
Negating the inflation potential of the Fed's lending programs,"Thornton, Daniel L.",N/A,"The sale of typical securities would force the Fed to contract its lending programs, whereas the sale of Fed bills would not.",http://research.stlouisfed.org/publications/es/09/ES0930.pdf,fedles:21006
Remarks on the Economic Outlook and Monetary Policy,"Musalem, Alberto G.",N/A,"St. Louis Fed President Alberto Musalem shared his views on the U.S. economy and monetary policy at the 41st annual National Association for Business Economics (NABE) Economic Policy Conference in Washington, D.C. He gave a speech, “Remarks on the Economic Outlook and Monetary Policy,” and participated in a moderated Q&A.",https://www.stlouisfed.org/-/media/project/frbstl/stlouisfed/musalem/2025/musalem_nabe_remarks_03-mar-2025_final.pdf,fedlps:99640
Momentum Appears to Have Swung Upward for Economy,"Kliesen, Kevin L.",N/A,"Following a rather tepid showing in the first quarter of 2017, the U.S. economy expanded at a modestly faster rate of growth in the second quarter. Although data indicated a springtime lull in housing construction and slower truck and auto sales, these slowdowns are likely temporary in view of other developments.",https://www.stlouisfed.org/~/media/Publications/Regional-Economist/2017/Third_quarter_2017/National-Overview.pdf,fedlre:26781
The varying effects of predatory lending laws on high-cost mortgage applications,"Pennington-Cross, Anthony, Ho, Giang",N/A,"Federal, state, and local predatory lending laws are designed to restrict and in some cases prohibit certain types of high-cost mortgage credit in the subprime market. Empirical evidence using the spatial variation in these laws shows that the aggregate flow of high-cost mortgage credit can increase, decrease, or be unchanged after these laws are enacted. Although it may seem counterintuitive to find that a law that prohibits lending could be associated with more lending, it is hypothesized that a law may reduce the cost of sorting honest loans from dishonest loans and lessen borrowers' fears of predation, thus stimulating the high-cost mortgage market.",https://files.stlouisfed.org/files/htdocs/publications/review/07/01/HoPennCross.pdf,fedlrv:25611
The link between money and prices : 1971-76,"Karnosky, Denis S.",N/A,N/A,https://fraser.stlouisfed.org/scribd/?toc_id=499809&filepath=/docs/publications/frbslreview/rev_stls_197606.pdf&start_page=17#scribd-open,fedlrv:25723
Rental rebound,"Mahon, Joe",N/A,"Apartment vacancy rates are falling around the Ninth District, but slower home sales are only part of the story.",http://www.minneapolisfed.org/publications_papers/pub_display.cfm?id=1184,fedmga:23855
Lender of more than last resort,"Fettig, David",N/A,Recalling Section 13(b) and the years when the Federal Reserve banks opened their discount windows to district businesses in times of economic stress.,http://minneapolisfed.org/publications_papers/pub_display.cfm?id=3392,fedmrr:40185
"\\""Tobin's Q\\"" and the rate of investment in general equilibrium","Sargent, Thomas J.",N/A,N/A,https://www.minneapolisfed.org/research/sr/sr40.pdf,fedmsr:5017
Does income equality spur growth?,anonymous,N/A,N/A,,fedaeu:30973
Atlanta Fed ready for 2007 hurricane season,anonymous,N/A,"With the arrival of the 2007 hurricane season, the Atlanta Fed has issued guidance to financial institutions regarding steps they can take to prepare for a weather-related crisis. A podcast discussing hurricane preparedness accompanies this story.",,fedafu:35915
Louisiana economy sends mixed signals,anonymous,N/A,N/A,,fedaru:17929
"Mimicking portfolios, economic risk premia, and tests of multi-beta models","Robotti, Cesare, Balduzzi, Pierluigi",N/A,"This paper considers two alternative formulations of the linear factor model (LFM) with nontraded factors. The first formulation is the traditional LFM, where the estimation of risk premia and alphas is performed by means of a cross-sectional regression of average returns on betas. The second formulation (LFM*) replaces the factors with their projections on the span of excess returns. This formulation requires only time-series regressions for the estimation of risk premia and alphas. We compare the theoretical properties of the two approaches and study the small-sample properties of estimates and test statistics. Our results show that when estimating risk premia and testing multi-beta models, the LFM* formulation should be considered in addition to, or even instead of, the more traditional LFM formulation.",https://www.frbatlanta.org/-/media/documents/research/publications/wp/2005/wp0504.pdf,fedawp:13944:original
